,Country,City,Latitude,Longitude,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
202,RO,mihaileni,47.9667,26.15,1647747170,32.88,66,2,4.61
203,NZ,waiuku,-37.25,174.75,1647747170,69.46,94,100,13.0
204,PF,faanui,-16.4833,-151.75,1647747170,82.72,74,23,15.86
205,AU,karratha,-20.7377,116.8463,1647747055,95.07,39,24,5.53
206,ML,kidal,18.4411,1.4078,1647747171,77.09,15,0,9.42
207,MA,asfi,32.2994,-9.2372,1647747171,59.4,86,33,8.34
208,GL,narsaq,60.9167,-46.05,1647747171,14.22,79,30,5.57
209,RU,yar-sale,66.8333,70.8333,1647747172,17.64,90,41,12.55
210,BR,sao joao da barra,-21.6403,-41.0511,1647747172,77.25,85,50,12.26
211,NG,bara,10.3744,10.7288,1647747172,72.5,12,88,6.87
212,MU,mahebourg,-20.4081,57.7,1647747172,80.26,94,40,3.44
213,US,jasper,37.2001,-94.3502,1647747173,53.04,53,0,6.91
214,MW,chitipa,-9.7024,33.2697,1647747173,61.86,97,100,1.12
215,NG,illela,13.7292,5.2975,1647747173,77.14,11,12,8.81
216,GA,gamba,-2.65,10.0,1647747173,77.49,87,78,5.59
217,MY,lumut,4.2323,100.6298,1647747174,89.62,70,20,8.05
218,RU,aktash,50.3,87.7333,1647747174,6.55,84,64,3.09
219,BR,porto murtinho,-21.6989,-57.8825,1647747174,68.58,90,45,4.25
220,IN,tura,25.5198,90.2201,1647747174,87.17,25,3,6.49
221,TL,airai,-8.9266,125.4092,1647747175,76.93,51,60,0.76
222,BR,humberto de campos,-2.5983,-43.4611,1647747175,74.16,91,98,1.63
223,CA,clyde river,70.4692,-68.5914,1647747125,-28.97,68,0,4.61
224,NZ,rakaia,-43.75,172.0167,1647747175,69.22,56,66,9.93
225,PK,barkhan,29.8977,69.5256,1647747176,76.23,23,0,5.32
226,MQ,le vauclin,14.5452,-60.8388,1647747176,77.05,73,20,12.66
227,BR,lajedo,-8.6636,-36.32,1647747176,67.5,98,36,4.09
228,ES,coria,39.9879,-6.5377,1647747177,54.45,74,94,12.17
229,IN,mahroni,24.5862,78.7288,1647747073,93.47,13,0,8.32
230,CA,saint-augustin,51.226,-58.6502,1647747177,7.83,94,95,4.68
231,UY,rocha,-34.4833,-54.3333,1647747177,56.25,68,53,3.67
232,CA,chapais,49.7834,-74.8492,1647747178,29.98,90,100,9.86
233,US,westport,41.1415,-73.3579,1647747178,59.14,96,12,3.0
234,US,lompoc,34.6391,-120.4579,1647747178,57.02,90,75,14.0
235,PA,horconcitos,8.4682,-81.8007,1647747179,65.71,89,73,6.64
236,MT,marsaxlokk,35.8419,14.5431,1647747179,52.09,81,75,25.32
237,IS,husavik,66.0449,-17.3389,1647747180,45.52,70,100,32.37
238,CN,chenzhou,25.8,113.0333,1647747170,79.21,63,61,1.77
239,BR,piacabucu,-10.4056,-36.4344,1647747180,77.27,81,7,4.16
240,AU,esperance,-33.8667,121.9,1647747035,73.24,58,99,8.1
241,LV,ventspils,57.3894,21.5606,1647747181,24.73,93,7,0.0
242,AU,launceston,-41.45,147.1667,1647747001,74.16,56,75,8.05
243,ET,asosa,10.0667,34.5333,1647747181,68.31,42,49,3.85
244,BR,arraial do cabo,-22.9661,-42.0278,1647747182,76.3,89,28,16.82
245,AU,broken hill,-31.95,141.4333,1647747182,89.31,25,16,5.75
246,MV,dhidhdhoo,6.8833,73.1,1647747182,83.3,69,2,14.7
247,RU,pevek,69.7008,170.3133,1647747182,0.5,76,24,13.49
248,TR,kumluca,36.3703,30.2869,1647747183,38.35,37,0,10.76
249,RU,nikolayevka,53.1257,47.2041,1647747183,24.22,98,99,5.91
250,EG,marsa matruh,31.3525,27.2453,1647747183,51.15,60,91,16.89
251,RU,severo-kurilsk,50.6789,156.125,1647747183,32.27,98,100,33.26
252,CA,campbellton,48.0075,-66.6727,1647747184,27.05,95,100,14.2
253,US,san ramon,37.7799,-121.978,1647747184,53.33,86,100,8.05
254,RO,oltina,44.1667,27.6667,1647747184,26.96,60,0,7.43
255,TD,moussoro,13.6408,16.4901,1647747185,71.4,5,13,10.11
256,CN,wuwei,37.9281,102.6414,1647747185,44.51,28,100,5.39
257,CG,owando,-0.4819,15.8999,1647747185,72.3,88,87,2.77
258,SL,bonthe,7.5264,-12.505,1647747185,74.86,88,83,3.24
259,US,mountain home,43.133,-115.6912,1647747186,47.68,100,100,11.5
260,ZA,saldanha,-33.0117,17.9442,1647747186,66.25,86,32,8.43
261,VN,cam ranh,11.9214,109.1591,1647747186,84.16,70,40,5.75
262,CA,iqaluit,63.7506,-68.5145,1647747186,-20.31,75,0,2.3
263,AO,luanda,-8.8368,13.2343,1647747187,78.8,83,40,4.61
264,CN,shache,38.4167,77.2406,1647747187,56.71,32,93,7.54
265,JP,kushikino,31.7167,130.2667,1647747148,58.46,61,89,9.42
266,TM,sayat,38.7839,63.8803,1647747187,33.67,50,1,9.53
267,BY,svetlogorsk,52.6333,29.7333,1647747188,28.13,90,26,5.84
268,MX,guerrero negro,27.9769,-114.0611,1647747188,59.97,84,0,15.01
269,CN,erenhot,43.6475,111.9767,1647747188,30.72,46,44,17.36
270,JP,itoman,26.1247,127.6694,1647747070,72.37,65,20,6.91
271,RS,kovacica,45.1117,20.6214,1647747188,34.9,51,13,12.62
272,FR,nemours,48.2751,2.6908,1647747189,40.39,71,4,7.4
273,PR,cabo rojo,18.0866,-67.1457,1647747189,76.68,81,0,8.79
274,ZM,mpongwe,-13.5091,28.155,1647747189,61.36,94,93,6.51
275,IR,kalaleh,37.3807,55.4916,1647747189,44.2,93,100,4.61
276,AU,mandurah,-32.55,115.7,1647747059,74.41,61,100,13.62
277,AF,rudbar,30.15,62.6,1647747190,53.38,35,0,6.17
278,ID,kaili,-3.4626,120.2147,1647747190,77.11,76,100,3.15
279,MX,alvarado,18.7667,-95.7667,1647747190,71.92,79,2,22.1
280,AU,mount gambier,-37.8333,140.7667,1647747191,69.71,60,100,13.8
281,RU,pangody,65.85,74.4859,1647747191,17.87,94,26,11.25
282,MA,tiznit,29.5833,-9.5,1647747191,53.15,91,59,2.73
283,CA,sioux lookout,50.1001,-91.917,1647747191,32.07,86,75,0.0
284,US,college,64.8569,-147.8028,1647747192,19.99,62,75,5.75
285,JP,hirara,24.8,125.2833,1647747123,75.06,68,20,13.8
286,BJ,kandi,11.1342,2.9386,1647747192,79.38,19,6,5.39
287,ZA,ellisras,-23.6649,27.7443,1647747193,59.07,72,12,4.0
288,PH,palauig,15.435,119.9045,1647747193,86.25,69,73,8.12
289,BR,sao raimundo das mangabeiras,-7.0219,-45.4811,1647747193,71.91,92,35,2.26
290,BR,salinopolis,-0.6136,-47.3561,1647747193,75.74,91,100,3.74
291,RE,saint-philippe,-21.3585,55.7679,1647747194,76.59,90,88,12.17
292,NG,sabla,12.7525,4.7077,1647747194,77.74,13,7,9.6
293,IS,hofn,64.2539,-15.2082,1647747194,45.73,92,100,30.74
294,RU,manturovo,58.3353,44.7619,1647747194,28.08,87,98,9.84
295,NZ,ahipara,-35.1667,173.1667,1647747195,67.44,94,99,16.6
296,GF,mana,5.6592,-53.7767,1647747195,75.92,90,100,11.01
297,IN,diu,20.7141,70.9822,1647747172,84.22,38,4,5.14
298,CA,slave lake,55.2834,-114.769,1647747196,40.98,48,0,4.61
299,RU,tilichiki,60.4667,166.1,1647747196,25.86,91,100,5.17
300,SE,norrtalje,59.758,18.705,1647747196,34.02,76,37,5.44
301,CN,pulandian,39.3953,121.9669,1647747196,42.62,29,24,7.11
302,RU,chunskiy,56.0815,99.6342,1647747197,23.49,83,100,12.77
303,ML,tessalit,20.1986,1.0114,1647747197,69.96,15,0,11.21
304,BR,uarini,-2.99,-65.1083,1647747198,72.88,99,100,1.43
305,RU,yablonovo,50.8523,37.3574,1647747198,4.19,100,100,5.14
306,CA,thompson,55.7435,-97.8558,1647747198,23.16,63,75,4.61
307,CL,constitucion,-35.3333,-72.4167,1647747199,58.21,53,100,8.95
308,RU,shitkino,56.3703,98.3543,1647747199,22.95,87,100,13.0
309,AU,yulara,-25.2406,130.9889,1647747199,96.64,16,0,14.97
310,BR,baiao,-2.7906,-49.6717,1647747199,71.89,98,100,2.21
311,MV,manadhoo,5.7667,73.3833,1647747200,83.64,69,8,14.23
312,UY,chuy,-33.6971,-53.4616,1647747200,55.0,69,36,5.57
313,RU,balagansk,54.0103,103.0544,1647747200,22.5,79,100,12.17
314,ES,tortosa,40.8125,0.5216,1647747200,52.25,84,98,1.16
315,UZ,komsomolskiy,40.4272,71.7189,1647747200,38.12,81,100,2.3
316,RU,tyumentsevo,53.3224,81.498,1647747201,11.25,94,99,10.2
317,KZ,beyneu,45.3167,55.2,1647747201,25.79,48,1,9.89
318,CM,kousseri,12.0769,15.0306,1647747201,69.76,26,0,4.61
319,KE,maralal,1.0968,36.698,1647747201,60.04,66,57,5.73
320,MV,thinadhoo,0.5333,72.9333,1647747202,83.1,75,31,17.22
321,ID,pringsewu,-5.3582,104.9744,1647747202,88.83,56,85,4.83
322,AU,port hedland,-20.3167,118.5667,1647747202,98.65,34,43,5.75
323,CN,yongan,39.6957,113.6871,1647747203,39.07,49,52,10.07
324,RU,uyemskiy,64.4743,40.8524,1647747203,35.65,80,20,11.18
325,RU,bilibino,68.0546,166.4372,1647747203,8.28,81,41,2.44
326,US,gillette,44.2911,-105.5022,1647747203,47.1,38,0,10.36
327,US,harrison,30.4091,-89.0436,1647747204,59.07,44,0,9.22
328,MX,jacala,21.0167,-99.1833,1647747204,51.62,80,97,3.38
329,NZ,te anau,-45.4167,167.7167,1647747071,68.02,49,62,1.9
330,CA,whitehorse,60.7161,-135.0538,1647747205,30.97,51,20,9.22
331,RU,demyansk,57.643,32.466,1647747206,27.95,98,62,5.88
332,BR,santa maria,-29.6842,-53.8069,1647747206,60.1,82,75,5.75
333,GN,conakry,9.538,-13.6773,1647747206,76.32,74,46,5.88
334,PG,mendi,-6.1761,143.6513,1647747206,66.69,83,95,4.21
335,NZ,tuatapere,-46.1333,167.6833,1647747207,66.6,55,36,5.37
336,LA,phonhong,18.5007,102.4166,1647747207,91.36,42,46,1.05
337,GA,mayumba,-3.432,10.6554,1647747207,78.08,86,92,4.7
338,ID,poso,-1.3959,120.7524,1647747208,86.47,60,100,3.06
339,DO,nagua,19.3832,-69.8474,1647747208,73.35,88,1,6.44
340,CA,havre-saint-pierre,50.2334,-63.5986,1647747208,24.8,79,75,16.11
341,PE,chimbote,-9.0853,-78.5783,1647747208,69.94,82,100,6.04
342,GH,berekum,7.4534,-2.584,1647747208,71.8,85,87,4.34
343,MG,ambilobe,-13.2,49.05,1647747210,76.55,94,100,0.18
344,MX,puerto penasco,31.3167,-113.5333,1647747210,64.9,79,47,5.01
345,GB,margate,51.3813,1.3862,1647747210,45.7,67,0,5.01
346,ZA,port shepstone,-30.7414,30.455,1647747210,70.68,78,96,5.1
347,CL,ancud,-41.8697,-73.8203,1647747211,56.23,71,100,4.32
348,PT,lagoa,39.05,-27.9833,1647747211,57.02,66,98,23.0
349,BR,itarema,-2.9248,-39.9167,1647747211,77.07,83,59,5.84
350,US,broome,42.2506,-75.833,1647747211,52.86,74,20,10.36
351,PT,porto santo,33.072,-16.3415,1647747212,57.58,72,20,18.41
352,CL,coihaique,-45.5752,-72.0662,1647747212,54.21,76,100,1.14
353,MM,lashio,22.9333,97.75,1647747212,90.16,20,96,3.0
354,BR,boa vista,2.8197,-60.6733,1647747212,80.58,69,40,11.5
355,NO,sistranda,63.7256,8.834,1647747213,40.96,76,100,4.43
356,RU,novobirilyussy,56.9514,90.6661,1647747213,21.16,87,100,13.67
357,RU,sinegorye,62.0788,150.477,1647747213,15.85,83,100,2.53
358,MN,mandalgovi,45.7625,106.2708,1647747214,18.14,29,6,4.45
359,RU,mezen,65.8522,44.24,1647747214,30.87,81,78,14.47
360,AR,rio gallegos,-51.6226,-69.2181,1647747214,51.85,62,0,27.63
361,US,sartell,45.6216,-94.2069,1647747214,38.97,81,0,4.61
362,BR,vila velha,-20.3297,-40.2925,1647747215,76.95,92,0,3.44
363,MX,cabo san lucas,22.8909,-109.9124,1647747215,75.51,48,0,8.05
364,RU,talnakh,69.4865,88.3972,1647747215,18.21,94,100,10.56
365,PH,catuday,16.2923,119.8062,1647747216,83.64,69,60,4.23
366,MR,adrar,20.5022,-10.0711,1647747216,66.45,24,38,8.46
367,LV,pavilosta,56.8879,21.1859,1647747216,24.71,82,1,3.91
368,IN,hukeri,16.2333,74.6,1647747216,80.49,46,97,7.78
369,CV,sao filipe,14.8961,-24.4956,1647747216,69.51,68,6,13.94
370,SE,kiruna,67.8557,20.2251,1647747217,43.72,49,100,32.21
371,IN,dwarka,22.2394,68.9678,1647747131,79.36,69,3,11.99
372,GL,sisimiut,66.9395,-53.6735,1647747217,-12.32,93,95,6.31
373,CN,yuci,37.6803,112.7319,1647747217,44.35,53,93,6.71
374,MX,lampazos de naranjo,27.0167,-100.5167,1647747218,64.69,43,0,12.88
375,CN,yatou,37.15,122.3833,1647747218,41.76,37,100,12.19
376,ES,olot,42.181,2.4901,1647747218,49.75,90,69,2.89
377,CD,bongandanga,1.5,21.05,1647747218,72.14,83,100,2.13
378,ZA,plettenberg bay,-34.0527,23.3716,1647747219,67.91,95,83,2.75
379,NC,moindou,-21.6924,165.677,1647747219,79.68,78,100,10.02
380,CA,norman wells,65.282,-126.8329,1647747219,-0.36,78,100,10.36
381,MX,coahuayana,18.7333,-103.6833,1647747219,67.08,58,2,3.98
382,PL,myszkow,50.5752,19.3246,1647747220,35.55,100,0,10.74
383,RU,murashi,59.3999,48.9615,1647747220,28.09,91,100,10.4
384,US,morehead,37.2711,-87.1764,1647747220,39.99,95,0,0.0
385,IN,baghmara,23.795,86.2085,1647747220,92.73,17,6,4.92
386,NA,luderitz,-26.6481,15.1594,1647747221,74.79,63,0,6.64
387,RU,novaya ladoga,60.1025,32.3019,1647747221,29.71,89,0,10.2
388,CA,cap-aux-meules,47.3821,-61.8597,1647747221,28.42,74,100,12.66
389,US,fairbanks,64.8378,-147.7164,1647747221,20.01,63,75,5.75
390,NP,kathmandu,27.7167,85.3167,1647747221,71.82,49,20,2.3
391,PT,lata,40.1629,-8.3327,1647747222,59.07,61,100,9.19
392,ET,bure,10.7,37.0667,1647747222,60.1,56,30,3.65
393,RU,inta,66.0317,60.1659,1647747222,29.98,97,100,20.96
394,RU,kutulik,53.3508,102.7839,1647747223,22.91,83,100,12.41
395,KZ,shieli,44.1667,66.75,1647747223,33.01,47,2,5.28
396,GB,bridlington,54.0831,-0.1919,1647747223,45.01,88,0,13.0
397,RU,bakchar,57.0186,82.0711,1647747223,18.39,91,100,12.68
398,IR,bafq,31.6128,55.4107,1647747224,59.07,18,1,2.26
399,BR,sao domingos do maranhao,-5.5758,-44.3853,1647747224,70.7,99,80,2.84
400,IN,yarada,17.65,83.2667,1647747224,82.72,74,20,6.91
401,ZW,mutoko,-17.397,32.2268,1647747224,59.85,88,100,0.92
402,GH,kintampo,8.0563,-1.7306,1647747225,76.86,72,75,5.19
403,JP,tanabe,33.7333,135.3667,1647747147,56.41,44,75,16.11
404,US,spencer,43.1414,-95.1444,1647747225,44.74,69,0,3.44
405,BW,shakawe,-18.3667,21.85,1647747225,66.16,96,100,4.29
406,PE,yurimaguas,-5.9,-76.0833,1647747226,72.5,99,100,2.01
407,ID,manokwari,-0.8667,134.0833,1647746987,84.79,70,35,8.19
408,JM,morant bay,17.8815,-76.4093,1647747226,78.42,81,89,10.38
409,RU,ostrovnoy,68.0531,39.5131,1647747226,31.96,83,77,32.39
410,RU,agirish,61.9247,63.0231,1647747227,26.47,87,83,11.77
411,US,kailua,21.4022,-157.7394,1647747227,82.38,75,1,4.0
412,SA,buraydah,26.326,43.975,1647747227,59.45,22,0,9.98
413,CN,jimo,36.3897,120.4622,1647747228,38.98,48,0,6.71
414,RU,evensk,61.95,159.2333,1647747228,20.23,83,52,6.58
415,US,marquette,46.5333,-87.6335,1647747228,32.68,91,56,7.18
416,NZ,waipawa,-41.4122,175.5153,1647747228,62.89,67,97,13.04
417,ES,los llanos de aridane,28.6585,-17.9182,1647747229,58.75,77,20,8.99
418,ZA,louis trichardt,-23.0439,29.9032,1647747229,54.32,97,27,5.08
419,MX,pochutla,15.7432,-96.4661,1647747229,77.83,66,7,3.65
420,GE,khani,41.9563,42.9566,1647747229,26.17,98,100,1.9
421,RU,lavrentiya,65.5833,-171.0,1647747230,-1.57,78,0,1.95
422,GA,omboue,-1.5746,9.2618,1647747230,77.47,88,83,5.75
423,ID,galesong,-5.3166,119.3661,1647747231,84.22,74,97,6.53
424,CN,simao,22.7886,100.9748,1647747231,83.59,19,34,8.9
425,US,altamont,42.2068,-121.7372,1647747231,36.77,75,0,19.57
426,MG,farafangana,-22.8167,47.8333,1647747231,72.32,78,76,6.26
427,ID,kawalu,-7.3817,108.2082,1647747232,85.59,63,99,3.22
428,PE,otuzco,-7.9,-78.5833,1647747232,50.36,86,100,2.73
429,NI,corn island,12.1694,-83.0418,1647747232,80.89,76,77,20.29
430,IE,clonakilty,51.6231,-8.8706,1647747232,48.09,96,65,10.98
431,US,rumford,44.5537,-70.5509,1647747233,40.03,92,100,1.66
432,AU,mackay,-21.15,149.2,1647747233,87.67,65,83,18.41
433,MN,baruun-urt,46.6806,113.2792,1647747233,22.06,39,17,8.75
434,US,houma,29.5958,-90.7195,1647747233,57.99,59,0,6.91
435,ID,gorontalo,0.5412,123.0595,1647747234,84.25,81,100,1.99
436,CD,kalemie,-5.9475,29.1947,1647747234,70.72,88,92,3.49
437,RU,tuma,55.148,40.5537,1647747234,25.88,97,11,5.55
438,SA,sakakah,29.9697,40.2064,1647747235,54.97,47,100,5.19
439,PE,chicama,-7.8447,-79.1469,1647747235,63.14,74,100,5.37
440,RU,veshkayma,54.05,47.1333,1647747235,22.71,99,100,7.02
441,PL,pionki,51.476,21.4499,1647747235,31.21,55,0,5.86
442,RU,sobolevo,54.4299,31.8996,1647747236,19.8,96,1,5.01
443,PH,aloleng,16.1307,119.7824,1647747236,85.57,68,44,8.34
444,CA,la ronge,55.1001,-105.2842,1647747237,28.62,80,0,3.44
445,BB,oistins,13.0667,-59.5333,1647747237,77.09,78,20,19.57
446,CN,yining,29.0361,114.5636,1647747237,57.07,88,97,3.6
447,MU,souillac,-20.5167,57.5167,1647747237,75.58,94,40,3.44
448,ZA,richards bay,-28.783,32.0377,1647747062,65.25,81,79,4.16
449,ML,araouane,18.9048,-3.5265,1647747238,72.36,16,1,9.51
450,MY,sibu,2.3,111.8167,1647747238,84.51,79,20,8.05
451,MV,funadhoo,6.15,73.2667,1647747233,83.64,71,3,13.98
452,JP,kanaya,34.8167,138.1333,1647747012,60.28,27,20,11.5
453,RU,verkhnyaya inta,65.9811,60.3094,1647747239,29.26,96,100,21.99
454,RU,ust-kuyga,70.0167,135.6,1647747239,-3.95,87,30,8.23
455,RU,okha,53.5739,142.9478,1647747239,20.55,88,100,19.1
456,MX,mapimi,25.8167,-103.85,1647747239,60.37,29,0,7.49
457,RU,nizhniy chir,48.3597,43.0865,1647747240,19.56,89,35,7.76
458,UA,zatoka,46.0725,30.4654,1647747240,31.14,61,20,18.3
459,FR,saint-francois,46.4154,3.9054,1647747240,42.24,93,97,4.61
460,RU,polunochnoye,60.8697,60.4153,1647747241,28.29,79,98,11.65
461,PH,dingle,10.9995,122.6711,1647747136,90.16,56,98,13.13
462,GB,salisbury,51.0693,-1.7957,1647747241,44.47,65,0,12.66
463,CN,yumen,40.2833,97.2,1647747242,39.51,31,100,20.96
464,CN,hengshui,37.7322,115.7011,1647747242,46.83,30,97,7.87
465,LK,weligama,5.9667,80.4167,1647747242,82.94,75,37,13.82
466,IR,khoy,38.5504,44.9535,1647747243,29.64,96,100,5.99
467,SE,ornskoldsvik,63.2909,18.7153,1647747243,41.95,70,16,14.97
468,RS,zvecka,44.6389,20.1647,1647747243,34.92,44,3,11.01
469,RU,zhigansk,66.7697,123.3711,1647747243,7.48,90,100,27.96
470,GL,ilulissat,69.2167,-51.1,1647747244,-0.38,71,75,3.44
471,IN,leh,34.1667,77.5833,1647747244,26.38,75,29,4.18
472,MX,ixtapa,20.7,-105.2,1647747244,70.23,83,20,2.3
473,RU,provideniya,64.3833,-173.3,1647747245,7.93,79,0,2.26
474,AR,comodoro rivadavia,-45.8667,-67.5,1647747245,49.86,57,0,6.91
475,MN,ulaanbaatar,47.9077,106.8832,1647747172,17.73,41,0,6.71
476,ES,cervo,43.6702,-7.4101,1647747245,52.48,74,59,3.78
